Opening,Colour,Num Games,ECO,Last Played,Perf Rating,Avg Player,Player Win %,Draw %,Opponent Win %,Moves
"Benoni Defense, Benoni Gambit, Schlenker Defense",,113,A43,2018-01-30,2237,2234,38.90%,29.20%,31.90%,1.d4 c5 2.dxc5 Na6
"Benoni Defense, Benoni-Indian Defense",,1135,A43,2018-07-07,2190,2235,28.80%,26.00%,45.20%,1.d4 c5 2.d5 Nf6
"Benoni Defense, Benoni-Indian Defense, Kingside move order",,4016,A43,2018-07-03,2349,2306,45.60%,27.90%,26.50%,1.d4 c5 2.d5 Nf6 3.Nf3
"Benoni Defense, Classical Variation, Argentine Counterattack",,468,A75,2018-06-26,2309,2342,33.80%,29.50%,36.80%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O a6 10.a4 Bg4
"Benoni Defense, Classical Variation, Averbakh-Grivas Attack",,570,A71,2018-06-10,2354,2299,47.00%,21.90%,31.10%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Bg5
"Benoni Defense, Classical Variation, Czerniak Defense",,223,A76,2018-05-31,2216,2245,38.10%,26.90%,35.00%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8
"Benoni Defense, Classical Variation, Czerniak Defense",,270,A78,2018-06-26,2355,2338,36.30%,29.60%,34.10%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Na6
"Benoni Defense, Classical Variation, Czerniak Defense",,414,A79,2018-06-29,2446,2391,45.20%,28.30%,26.60%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Na6 11.f3
"Benoni Defense, Classical Variation, Czerniak Defense, Tal Line",,903,A77,2018-07-09,2371,2342,42.80%,25.90%,31.30%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2
"Benoni Defense, Classical Variation, Full line",,193,A74,2018-02-03,2208,2164,43.00%,22.80%,34.20%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O a6 10.a4
"Benoni Defense, Classical Variation, General",,1833,A70,2018-06-23,2261,2229,35.00%,25.20%,39.80%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3
"Benoni Defense, Classical Variation, Main line",,555,A73,2018-05-27,2296,2283,35.90%,30.80%,33.30%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O
"Benoni Defense, Classical Variation, New York Variation",,2454,A70,2018-06-30,2381,2319,43.90%,32.50%,23.60%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.h3
"Benoni Defense, Classical Variation, Traditional Variation",,255,A72,2018-06-29,2260,2246,34.10%,31.00%,34.90%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2
"Benoni Defense, Czech Benoni Defense",,3847,A56,2018-06-23,2253,2303,30.30%,27.90%,41.90%,1.d4 Nf6 2.c4 c5 3.d5 e5
"Benoni Defense, Fianchetto Variation",,2966,A62,2018-07-08,2302,2349,32.40%,28.50%,39.00%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O
"Benoni Defense, Fianchetto Variation, Hastings Defense",,341,A63,2018-07-03,2410,2446,36.70%,33.70%,29.60%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O 9.O-O Nbd7
"Benoni Defense, Fianchetto Variation, Hastings Defense, Main Line",,1635,A64,2018-07-06,2356,2356,40.40%,29.20%,30.40%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O 9.O-O Nbd7 10.Nd2 a6 11.a4 Re8
"Benoni Defense, Four Pawns Attack",,408,A68,2018-06-28,2212,2220,45.10%,21.30%,33.60%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Nf3 O-O
"Benoni Defense, Four Pawns Attack, Main Line",,1218,A69,2018-07-06,2140,2203,29.60%,23.10%,47.30%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Nf3 O-O 9.Be2 Re8
"Benoni Defense, Franco-Sicilian Defense",,765,A43,2018-07-07,2271,2214,43.80%,28.10%,28.10%,1.d4 c5 2.d5 e6 3.e4
"Benoni Defense, General",,5336,A43,2018-07-09,2148,2179,39.00%,26.70%,34.30%,1.d4 c5
"Benoni Defense, Hromodka System",,2380,A57,2018-06-29,2204,2253,27.20%,28.00%,44.80%,1.d4 Nf6 2.c4 c5 3.d5 d6
"Benoni Defense, King Pawn lines",,3272,A65,2018-07-07,2272,2230,44.50%,22.20%,33.30%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4
"Benoni Defense, King's Indian System",,750,A56,2018-06-24,2251,2308,27.10%,29.90%,43.10%,1.d4 Nf6 2.c4 c5 3.d5 e5 4.Nc3 d6 5.e4 g6
"Benoni Defense, Knight's Tour Variation",,1765,A61,2018-06-26,2417,2367,47.30%,26.70%,26.00%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.Nd2
"Benoni Defense, Mikenas Variation",,223,A66,2018-06-29,2314,2254,48.00%,18.80%,33.20%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.e5
"Benoni Defense, Modern Variation",,5208,A56,2018-07-09,2251,2285,35.00%,28.80%,36.20%,1.d4 Nf6 2.c4 c5
"Benoni Defense, Modern Variation",,2404,A60,2018-07-02,2192,2233,31.00%,23.90%,45.00%,1.d4 Nf6 2.c4 c5 3.d5 e6
"Benoni Defense, Modern Variation, Snake Variation",,836,A60,2018-06-27,2268,2315,39.70%,21.60%,38.60%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 Bd6
"Benoni Defense, Old Benoni Defense, Clarendon Court Variation",,521,A43,2018-06-02,2146,2188,30.70%,21.50%,47.80%,1.d4 c5 2.d5 f5
"Benoni Defense, Old Benoni",,1327,A43,2018-07-06,2166,2201,29.10%,25.80%,45.10%,1.d4 c5 2.d5 d6
"Benoni Defense, Old Benoni, Pawn Thrust",,1478,A44,2018-06-30,2148,2203,32.20%,25.90%,41.90%,1.d4 c5 2.d5 e5
"Benoni Defense, Old Benoni, Russian Variation",,2534,A44,2018-07-07,2182,2243,25.60%,24.10%,50.30%,1.d4 c5 2.d5 e5 3.e4 d6
"Benoni Defense, Pawn Storm Variation",,151,A66,2018-06-09,2227,2140,57.00%,13.90%,29.10%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4
"Benoni Defense, Taimanov Variation",,2354,A67,2018-07-08,2354,2296,49.60%,20.50%,29.90%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Bb5+
"Benoni Defense, Uhlmann Variation",,574,A61,2018-06-16,2371,2342,42.70%,26.10%,31.20%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.Bg5
"Benoni Defense, Vulture Defense",,289,A56,2018-06-23,2162,2214,31.50%,21.10%,47.40%,1.d4 c5 2.d5 Nf6 3.c4 Ne4
"Benoni Defense, Weenink Variation",,234,A56,2018-03-26,2188,2212,37.20%,38.50%,24.40%,1.d4 Nf6 2.c4 c5 3.dxc5 e6
"Bird Opening, Dutch Variation",,7818,A03,2018-07-09,2137,2135,39.60%,26.50%,33.90%,1.f4 d5
"Bird Opening, From Gambit",,738,A02,2018-07-04,2063,2066,42.50%,19.10%,38.40%,1.f4 e5
"Bird Opening, From Gambit, Lasker Variation",,493,A02,2018-07-07,2060,2112,36.70%,20.10%,43.20%,1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 g5
"Bird Opening, General",,6728,A02,2018-07-07,2117,2111,34.50%,24.60%,40.90%,1.f4
"Bird Opening, Lasker Variation",,538,A03,2018-07-05,2038,2039,39.40%,24.90%,35.70%,1.f4 d5 2.Nf3 Nf6 3.e3 c5
"Bishop's Opening, Berlin Defense",,4006,C24,2018-07-06,2177,2205,27.50%,28.90%,43.60%,1.e4 e5 2.Bc4 Nf6
"Bishop's Opening, Blanel Gambit",,189,C23,2010-05-19,2214,2250,31.80%,36.00%,32.30%,1.e4 e5 2.Bc4 Nf6 3.Nc3 Nxe4
"Bishop's Opening, Boden-Kieseritsky Gambit",,322,C27,2018-04-08,2196,2142,42.20%,27.60%,30.10%,1.e4 e5 2.Nc3 Nf6 3.Bc4 Nxe4 4.Nf3
"Bishop's Opening, Boi Variation",,343,C20,2018-04-21,1964,1956,29.10%,21.30%,49.60%,1.e4 e5 2.Bc4 Bc5
"Bishop's Opening, General",,901,C23,2018-06-26,2115,2098,47.10%,22.40%,30.50%,1.e4 e5 2.Bc4
"Bishop's Opening, Ponziani Gambit",,184,C24,2018-05-05,2083,1995,59.80%,14.70%,25.50%,1.e4 e5 2.Bc4 Nf6 3.d4
"Bishop's Opening, Urusov Gambit",,101,C24,2010-05-19,2184,2150,45.50%,21.80%,32.70%,1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3
"Bishop's Opening, Urusov Gambit, Keidansky Gambit",,125,C24,2018-05-19,2235,2170,42.40%,22.40%,35.20%,1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3 Nxe4 5.Qxd4
"Bishop's Opening, Vienna Hybrid",,3314,C28,2018-07-07,2241,2212,38.00%,31.00%,31.00%,1.e4 e5 2.Bc4 Nf6 3.d3 Nc6 4.Nc3
"Bishop's Opening, Vienna Hybrid, Hromadka Variation",,467,C28,2018-06-27,2288,2260,37.00%,35.50%,27.40%,1.e4 e5 2.Bc4 Nf6 3.d3 Nc6 4.Nc3 Bb4 5.Ne2
"Bishop's Opening, Vienna Hybrid, Spielmann Attack",,1366,C26,2018-06-29,2195,2154,46.90%,23.90%,29.20%,1.e4 e5 2.Bc4 Nf6 3.d3 Bc5 4.Nc3
"Blackmar-Diemer Gambit, Declined, Langeheinecke Defense",,122,D00,2018-06-02,2117,2126,39.30%,28.70%,32.00%,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e3
"Blackmar-Diemer Gambit, Euwe Defense",,175,D00,2018-05-27,1966,2063,31.40%,14.30%,54.30%,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 e6
"Blackmar-Diemer Gambit, Netherlands Variation",,110,D00,2017-10-18,2237,2248,36.40%,29.10%,34.50%,1.d4 d5 2.e4 dxe4 3.Nc3 f5
"Blackmar-Diemer Gambit, Teichmann Variation",,317,D00,2018-05-31,2088,2103,48.30%,14.20%,37.50%,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 Bg4
"Blackmar-Diemer Gambit, Vienna Variation",,175,D00,2018-03-10,2016,2079,36.60%,16.60%,46.90%,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 Bf5
"Blackmar-Diemer Gambit, Von Popiel Gambit",,120,D00,2018-01-30,2007,2080,30.80%,19.20%,50.00%,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.Bg5
"Blumenfeld Countergambit, Accepted",,612,E10,2018-06-30,2283,2320,35.60%,20.60%,43.80%,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.dxe6 fxe6 6.cxb5 d5
"Blumenfeld Countergambit, Dus-Chotimursky Variation",,1097,E10,2018-06-29,2385,2350,42.30%,27.60%,30.10%,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.Bg5
"Blumenfeld Countergambit, General",,614,E10,2018-06-23,2277,2292,42.80%,20.70%,36.50%,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5
"Blumenfeld Countergambit, Spielmann Variation",,184,E10,2018-07-02,2320,2373,29.90%,29.40%,40.80%,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.Bg5 exd5 6.cxd5 h6
"Bogo-Indian Defense, Exchange Variation",,1738,E11,2018-07-01,2222,2273,15.50%,46.90%,37.60%,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Bxd2+
"Bogo-Indian Defense, Grünfeld Variation",,8285,E11,2018-07-08,2431,2388,42.40%,35.80%,21.70%,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2
"Bogo-Indian Defense, Nimzowitsch Variation",,7509,E11,2018-07-07,2260,2290,25.80%,40.20%,34.00%,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Qe7
"Bogo-Indian Defense, Retreat Variation",,252,E11,2018-06-24,2067,2093,30.20%,26.20%,43.60%,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Be7
"Bogo-Indian Defense, Vitolinsh Variation",,2359,E11,2018-07-08,2328,2370,26.20%,43.10%,30.70%,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 c5
"Bogo-Indian Defense, Wade-Smyslov Variation",,2654,E11,2018-07-07,2335,2381,30.30%,39.50%,30.30%,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 a5
"Budapest Defense, Adler Variation",,2877,A52,2018-07-08,2145,2123,42.90%,26.20%,30.90%,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Nf3
"Budapest Defense, Alekhine Variation",,355,A52,2018-05-20,2214,2162,53.00%,19.70%,27.30%,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4
"Budapest Defense, Alekhine Variation, Abonyi Variation",,304,A52,2018-05-21,2179,2198,32.90%,19.10%,48.00%,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4 Nxe5 5.f4 Nec6
"Budapest Defense, Fajarowicz Variation",,992,A51,2018-06-16,2093,2142,24.60%,24.90%,50.50%,1.d4 Nf6 2.c4 e5 3.dxe5 Ne4
"Budapest Defense, General",,727,A52,2018-07-06,2077,2121,24.90%,22.00%,53.10%,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4
"Budapest Defense, Rubinstein Variation",,2522,A52,2018-07-08,2266,2217,50.00%,29.50%,20.50%,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Bf4
"Caro-Kann Defense, Accelerated Panov Attack",,644,B10,2018-06-27,2245,2211,48.60%,24.40%,27.00%,1.e4 c6 2.c4
"Caro-Kann Defense, Accelerated Panov Attack",,936,B10,2018-06-29,2045,2082,20.60%,26.30%,53.10%,1.e4 c6 2.c4 d5
"Caro-Kann Defense, Accelerated Panov Attack, Modern Variation",,4671,B10,2018-07-07,2265,2290,24.90%,35.60%,39.60%,1.e4 c6 2.c4 d5 3.exd5 cxd5 4.cxd5 Nf6
"Caro-Kann Defense, Accelerated Panov Attack, Open Variation",,1419,B10,2018-07-01,2236,2294,22.60%,32.80%,44.60%,1.e4 c6 2.c4 e5
"Caro-Kann Defense, Advance Variation",,5840,B12,2018-07-03,2253,2229,40.70%,28.90%,30.50%,1.e4 c6 2.d4 d5 3.e5
"Caro-Kann Defense, Advance Variation, Bayonet Attack",,736,B12,2018-06-27,2049,2055,39.70%,20.20%,40.10%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.g4
"Caro-Kann Defense, Advance Variation, Botvinnik-Carls Defense",,4115,B12,2018-07-08,2206,2231,31.90%,26.30%,41.80%,1.e4 c6 2.d4 d5 3.e5 c5
"Caro-Kann Defense, Advance Variation, Bronstein Variation",,670,B12,2018-06-22,2200,2157,45.70%,22.40%,31.90%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Ne2
"Caro-Kann Defense, Advance Variation, Short Variation",,8521,B12,2018-07-09,2344,2315,41.50%,30.40%,28.20%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nf3
"Caro-Kann Defense, Advance Variation, Tal Variation",,3111,B12,2018-07-09,2321,2281,45.10%,26.60%,28.40%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.h4
"Caro-Kann Defense, Advance Variation, Van der Wiel Attack",,2597,B12,2018-06-27,2239,2226,40.00%,23.40%,36.50%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3
"Caro-Kann Defense, Advance Variation, Van der Wiel Attack, Bishop Hunt",,727,B12,2018-05-06,2279,2257,41.00%,23.90%,35.10%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3 e6 5.g4 Bg6 6.Nge2 c5 7.h4
"Caro-Kann Defense, Advance Variation, Van der Wiel Attack, Dreyev Defense",,444,B12,2017-12-02,2267,2325,34.00%,23.90%,42.10%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3 Qb6
"Caro-Kann Defense, Breyer Variation",,3988,B10,2018-07-07,2274,2243,39.40%,31.90%,28.70%,1.e4 c6 2.d3
"Caro-Kann Defense, Bronstein-Larsen Variation",,3730,B16,2018-07-04,2176,2240,28.40%,27.90%,43.70%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ gxf6
"Caro-Kann Defense, Classical Variation",,7150,B18,2018-07-08,2168,2189,30.80%,35.50%,33.70%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5
